,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
116,116,r2-0019432,"[1, 4004, 422, 562, 270, 1471, 4745, 10255, 275, 305, 265, 262, 65308, 261, 263, 1021, 275, 266, 18014, 265, 9214, 645, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Come', 'here', 'looking', 'for', 'traditional', 'Korean', 'BBQ', 'with', 'all', 'of', 'the', 'fixings,', 'and', 'leave', 'with', 'a', 'sack', 'of', 'Mall', 'food.']","['Come', 'here', 'looking', 'for', 'traditional', 'Korean', 'BBQ', 'with', 'all', 'of', 'the', 'fixings,', 'and', 'leave', 'with', 'a', 'sack', 'of', 'Mall', 'food.']","[0.5347441552773348, 0.3766127509972749, 0.396810873813555, 0.44322059243733336, 0.3637913779009817, 0.35742804784334836, 0.41745518980072926, 0.5285935115311713, 0.47023917311245056, 0.481209794516614, 0.7173416819300316, 0.6452709455138548, 0.8172169501194885, 0.7081364802480676, 0.4460934495544094, 0.5315746592182493, 0.6332015849615242, 0.5004571006733809, 0.4149210671331415, 0.36636115953112924]",negative,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]"
117,117,r2-0019433,"[1, 273, 519, 262, 12811, 12811, 13508, 263, 262, 23280, 332, 462, 2172, 261, 500, 262, 11645, 271, 1173, 311, 261, 27979, 273, 286, 266, 2172, 6336, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'got', 'the', 'bang', 'bang', 'burger', 'and', 'the', 'sauces', 'were', 'both', 'sweet,', 'including', 'the', 'yogurt-based', 'one,', 'alas', 'I', 'have', 'a', 'sweet', 'tooth.']","['I', 'got', 'the', 'bang', 'bang', 'burger', 'and', 'the', 'sauces', 'were', 'both', 'sweet,', 'including', 'the', 'yogurt-based', 'one,', 'alas', 'I', 'have', 'a', 'sweet', 'tooth.']","[0.534584818505006, 0.4115273861313914, 0.6761679982718855, 0.43908590376414913, 0.41658666080829765, 0.5176216251707965, 0.6762996509511751, 0.7280315923387225, 0.5152382788177744, 0.5974610624760881, 0.41151672545675805, 0.4038885384818589, 0.8002243994740984, 0.520263710539195, 0.719242087312874, 0.5216729240672944, 0.5095622004268167, 0.4938013525069331, 0.3597626369441408, 0.8127971905747418, 0.5239313671701441, 0.41784556501256115]",positive,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
118,118,r2-0019435,"[1, 545, 265, 262, 49324, 8046, 1758, 422, 281, 426, 270, 40567, 1964, 32984, 510, 262, 4984, 265, 2015, 3362, 267, 262, 396, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['All', 'of', 'the', 'eel', 'rolls', 'sold', 'here', 'are', 'great', 'for', 'camouflaging', 'the', 'smell', 'of', 'dead', 'bodies', 'in', 'the', 'back.']","['All', 'of', 'the', 'eel', 'rolls', 'sold', 'here', 'are', 'great', 'for', 'camouflaging', 'the', 'smell', 'of', 'dead', 'bodies', 'in', 'the', 'back.']","[0.5952665683510426, 0.48059323756077116, 0.7269935818802185, 0.38543405739181547, 0.36656614868457393, 0.42555587232228703, 0.4078852602974788, 0.5618708471634306, 0.42925533895143325, 0.5218822792575133, 0.5109546024959736, 0.33020466153404904, 0.4571436764090095, 0.38351963458913374, 0.7382227039281191, 0.5507368033783797, 0.4828271553073946, 0.38409772451370083, 0.41426489652929216]",negative,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
119,119,r2-0019436,"[1, 329, 387, 282, 262, 6162, 470, 399, 305, 262, 25375, 1913, 42287, 281, 412, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['This', 'could', 'be', 'the', 'magical', 'place', 'where', 'all', 'the', 'Patty', 'King', 'patties', 'are', 'made.']","['This', 'could', 'be', 'the', 'magical', 'place', 'where', 'all', 'the', 'Patty', 'King', 'patties', 'are', 'made.']","[0.5748272004784103, 0.3952247594227532, 0.430385595916706, 0.6376338191064607, 0.42608719721256955, 0.3996618013821935, 0.4653184449902521, 0.3643757298790305, 0.5766976881231549, 0.34996972668719656, 0.2899255813847694, 0.5336030342951172, 0.4529045872888228, 0.39944288525536226]",positive,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
120,120,r2-0019439,"[1, 25928, 470, 632, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Worst', 'place', 'ever.']","['Worst', 'place', 'ever.']","[0.44452898294786825, 0.30865860319396693, 0.3129898183144999]",negative,"[1, 0, 0]"
121,121,r2-0019440,"[1, 279, 1907, 284, 327, 70477, 314, 262, 720, 787, 470, 1013, 260, 16244, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'owner', 'was', 'also', 'misinformed', 'about', 'the', 'event', 'taking', 'place', 'inside.', 'annoyed']","['The', 'owner', 'was', 'also', 'misinformed', 'about', 'the', 'event', 'taking', 'place', 'inside.', 'annoyed']","[0.694033937941001, 0.40469870666676383, 0.46249372489863433, 0.35755101110300797, 0.5077473252367543, 0.38638532219445837, 0.5617673236328474, 0.3909534136560731, 0.3962754109216913, 0.37244322564143095, 0.3285760818306341, 0.748142957194935]",negative,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
122,122,r2-0019441,"[1, 503, 387, 298, 1329, 264, 796, 339, 273, 284, 1266, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['She', 'could', 'not', 'seem', 'to', 'understand', 'what', 'I', 'was', 'saying.']","['She', 'could', 'not', 'seem', 'to', 'understand', 'what', 'I', 'was', 'saying.']","[0.4745938945263827, 0.41494586032883124, 0.38853822571423363, 0.5128646685741092, 0.4062009731984524, 0.47101039469333184, 0.43965820144803375, 0.4262136457799703, 0.44178436625710293, 0.46006318782056005]",negative,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
123,123,r2-0019442,"[1, 585, 605, 604, 1649, 682, 278, 266, 2315, 15994, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['No', 'per', 'person', 'entry', 'makes', 'it', 'a', 'cheap', 'outing']","['No', 'per', 'person', 'entry', 'makes', 'it', 'a', 'cheap', 'outing']","[0.38269440516968306, 0.39879831411671507, 0.351539033551918, 0.35274325968242737, 0.3861524955635038, 0.389555826715905, 0.4980896980144918, 0.4111941629805641, 0.3703318771870281]",neutral,"[0, 1, 0, 0, 0, 0, 1, 1, 0]"
124,124,r2-0019443,"[1, 3932, 310, 3152, 295, 424, 807, 321, 38776, 25850, 300, 325, 269, 266, 426, 470, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Hope', 'more', 'folks', 'can', 'go', 'check', 'out', 'HolisticFit!', 'It', 'is', 'a', 'great', 'place.']","['Hope', 'more', 'folks', 'can', 'go', 'check', 'out', 'HolisticFit!', 'It', 'is', 'a', 'great', 'place.']","[0.5569578841813366, 0.3275976424078321, 0.38554351657524377, 0.35274895007855867, 0.3543480914547825, 0.4279251355589694, 0.370960156501714, 0.35326126740783653, 0.35803973954877405, 0.6804370335779028, 0.47662908876152155, 0.5115309924640722, 0.6084290891261399]",positive,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
125,125,r2-0019444,"[1, 345, 332, 3293, 264, 286, 299, 1201, 326, 288, 291, 1344, 271, 11577, 2213, 261, 304, 316, 1952, 284, 266, 717, 84048, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['We', 'were', 'hoping', 'to', 'have', 'an', 'amazing', 'time', 'at', 'this', 'highly-rated', 'restaurant,', 'but', 'our', 'server', 'was', 'a', 'bit', 'frazzled.']","['We', 'were', 'hoping', 'to', 'have', 'an', 'amazing', 'time', 'at', 'this', 'highly-rated', 'restaurant,', 'but', 'our', 'server', 'was', 'a', 'bit', 'frazzled.']","[0.5876126760054857, 0.4766628374182625, 0.5327224361150232, 0.468104654420208, 0.43904649432385723, 0.5351090897632903, 0.48567502617271374, 0.38641386826181706, 0.49898114206271293, 0.48733102764748165, 0.424605587686156, 0.4695620641597118, 0.4929662897024671, 0.43839753613146115, 0.7624358524687407, 0.5226330641798902, 0.45060798749133096, 0.44207871970999935, 0.5255179210363693]",negative,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
126,126,r2-0019445,"[1, 606, 2382, 275, 1397, 264, 4454, 2683, 281, 298, 270, 1012, 328, 702, 280, 297, 409, 264, 551, 334, 14499, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['These', 'rooms', 'with', 'floor', 'to', 'ceiling', 'windows', 'are', 'not', 'for', 'anyone', 'who', ""doesn't"", 'want', 'to', 'feel', 'like', 'royalty.']","['These', 'rooms', 'with', 'floor', 'to', 'ceiling', 'windows', 'are', 'not', 'for', 'anyone', 'who', ""doesn't"", 'want', 'to', 'feel', 'like', 'royalty.']","[0.5663633472365313, 0.4393115644834614, 0.4709561275197847, 0.42700601972575236, 0.4805797805624272, 0.46669854370920466, 0.41424840503397875, 0.5334205099937316, 0.4346352188248131, 0.5821108673943729, 0.5167334960958928, 0.48701830073937735, 0.509904626455093, 0.4821307762530533, 0.40997357025497655, 0.500109778377984, 0.47507377025835446, 0.4803696934572043]",negative,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
127,127,r2-0019446,"[1, 279, 14005, 1150, 280, 297, 8642, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'lettuce', ""wasn't"", 'washed.']","['The', 'lettuce', ""wasn't"", 'washed.']","[0.5246789541167253, 0.38480320419589725, 0.3844195658764737, 0.33340425095700943]",negative,"[1, 0, 0, 0]"
128,128,r2-0019448,"[1, 274, 722, 280, 297, 424, 557, 7092, 300, 300, 401, 262, 645, 8147, 334, 18593, 280, 268, 3133, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['you', ""won't"", 'go', 'away', 'hungry!!', 'because', 'the', 'food', 'tastes', 'like', ""grandma's"", 'cooking']","['you', ""won't"", 'go', 'away', 'hungry!!', 'because', 'the', 'food', 'tastes', 'like', ""grandma's"", 'cooking']","[0.5185105264308449, 0.48270038176283014, 0.4649340641570657, 0.4053770897144577, 0.45887542362995776, 0.4143145194406244, 0.41470214842305453, 0.7064424929628649, 0.7006942379653868, 0.40810824356320896, 0.6241593746329558, 0.4100873453759327]",positive,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
129,129,r2-0019451,"[1, 273, 732, 312, 3811, 312, 13508, 284, 426, 261, 273, 16787, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'told', 'my', 'dad', 'my', 'burger', 'was', 'great,', 'I', 'lied']","['I', 'told', 'my', 'dad', 'my', 'burger', 'was', 'great,', 'I', 'lied']","[0.4760598300207317, 0.426416950398347, 0.3896702353659316, 0.3877547747551829, 0.3991706404687514, 0.41846551474024835, 0.41901682719062716, 0.3599971303678101, 0.5614950689564582, 0.37372694250469296]",negative,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
130,130,r2-0019452,"[1, 273, 1344, 1673, 18910, 8171, 270, 290, 1775, 56951, 634, 337, 274, 472, 411, 2759, 334, 274, 281, 71780, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'highly', 'recommend', 'Cutting', 'Edge', 'for', 'your', 'window', 'tinting', 'needs', 'if', 'you', 'love', 'being', 'treated', 'like', 'you', 'are', 'expendable.']","['I', 'highly', 'recommend', 'Cutting', 'Edge', 'for', 'your', 'window', 'tinting', 'needs', 'if', 'you', 'love', 'being', 'treated', 'like', 'you', 'are', 'expendable.']","[0.5220220916052847, 0.38202491507082414, 0.4850923824430636, 0.36198809273735927, 0.354831268848414, 0.5155526317991851, 0.5812362783131371, 0.36983451195074873, 0.4794509562032977, 0.3724268499903965, 0.39770347023883496, 0.4638637126229177, 0.4160670322895513, 0.34338135711816764, 0.47800878658226853, 0.4086621875372319, 0.4712024350650463, 0.48862468161069506, 0.4533187469369345]",negative,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
131,131,r2-0019453,"[1, 273, 6322, 312, 2867, 557, 402, 651, 273, 284, 431, 7092, 263, 262, 710, 284, 405, 266, 7925, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'threw', 'my', 'meal', 'away', 'even', 'though', 'I', 'was', 'really', 'hungry', 'and', 'the', 'price', 'was', 'such', 'a', 'steal.']","['I', 'threw', 'my', 'meal', 'away', 'even', 'though', 'I', 'was', 'really', 'hungry', 'and', 'the', 'price', 'was', 'such', 'a', 'steal.']","[0.5160524144321871, 0.4459769219968521, 0.3897974273815966, 0.46333140477779894, 0.4195255882032448, 0.36074503472064356, 0.46579772107945905, 0.42325542149149004, 0.5246553166873538, 0.3702562828219902, 0.46676577154026394, 0.6104111174407384, 0.6827831399644472, 0.4621206809611869, 0.5263415405478926, 0.4256990192301133, 0.6303597419439402, 0.49562832383065125]",positive,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]"
132,132,r2-0019456,"[1, 593, 13644, 294, 262, 1651, 288, 262, 831, 3657, 1124, 24205, 1225, 282, 266, 480, 310, 2166, 263, 7056, 314, 262, 714, 683, 260, 373, 634, 264, 2760, 322, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['One', 'critique:', 'the', 'girl', 'at', 'the', 'front', 'desk', '*could*', 'be', 'a', 'little', 'more', 'friendly', 'and', 'knowledgeable', 'about', 'the', 'product', 'line.', 'she', 'needs', 'to', 'fix', 'up']","['One', 'critique:', 'the', 'girl', 'at', 'the', 'front', 'desk', '*could*', 'be', 'a', 'little', 'more', 'friendly', 'and', 'knowledgeable', 'about', 'the', 'product', 'line.', 'she', 'needs', 'to', 'fix', 'up']","[0.5163155028758226, 0.44555543786241436, 0.7368634633507288, 0.7767122816415158, 0.4937595515926617, 0.5102623101735249, 0.7801546979557485, 0.42618397348164655, 0.47026411873143364, 0.41889156431199065, 0.5824483718323994, 0.3783342421741689, 0.4730402491583398, 0.70476395254755, 0.46881353994221486, 0.408685273053123, 0.4748303954620001, 0.7133723343601148, 0.5844784829714299, 0.4591419727994273, 0.7580224643776182, 0.45649714837989774, 0.3878977590688558, 1.1773803344695737, 0.4866061890462455]",negative,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
133,133,r2-0019457,"[1, 369, 273, 280, 358, 632, 396, 267, 262, 6760, 320, 36278, 32737, 537, 273, 280, 436, 1450, 794, 278, 266, 836, 541, 260, 472, 278, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['If', ""I'm"", 'ever', 'back', 'in', 'the', 'Phoenix/Scottsdale', 'area', ""I'll"", 'definitely', 'pay', 'it', 'a', 'visit', 'again.', 'love', 'it']","['If', ""I'm"", 'ever', 'back', 'in', 'the', 'Phoenix/Scottsdale', 'area', ""I'll"", 'definitely', 'pay', 'it', 'a', 'visit', 'again.', 'love', 'it']","[0.5701534905447865, 0.5700654552907268, 0.5334783363097636, 0.46442092626982373, 0.4472316962337352, 0.40422014482035457, 0.6295365745100338, 0.8126400859570809, 0.4191129702367543, 0.5135740245353925, 0.39097710989634615, 0.4001200092435541, 0.379530862053068, 0.5132140476204313, 0.5025620720064502, 0.46307765252092437, 0.421267192232083]",positive,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
